,Aciklamalar,tarih_baslangic,tarih_bitis,il,haftalik_vaka_sayisi
0,Son Güncelleme,08.02.2021,14.02.2021,Adana,60
,19 Mart 2021 Cuma ,08.02.2021,14.02.2021,Adıyaman,101
1,Veri Seti,08.02.2021,14.02.2021,Afyon,22
,Türkiye İl Düzeyi Haftalık Vaka Sayıları,08.02.2021,14.02.2021,Ağrı,28
2,Kapsam,08.02.2021,14.02.2021,Aksaray,92
,"Bu veri seti, Sağlık Bakanlığı tarafından yayınlanan il düzeyi haftalık vaka sayılarını içermektedir. ",08.02.2021,14.02.2021,Amasya,96
3,Kaynak,08.02.2021,14.02.2021,Ankara,35
,Veri seti Sağlık Bakanlığı COVID19 Bilgilendirme Sayfası web sitesinden temin edilmektedir. ,08.02.2021,14.02.2021,Antalya,78
4,Notlar,08.02.2021,14.02.2021,Ardahan,66
,Veri seti .xls ve .csv olarak yayınlanmakta olup google alt yapısından kaynaklı olarak veri güncellemesi gecikebilmektedir. Eksik veri inmesi durumunda indirme işlemini birkaç kez tekrarlayınız. ,08.02.2021,14.02.2021,Artvin,78
5,Sorumluluk Reddi,08.02.2021,14.02.2021,Aydın,35
,Veri setindeki olası hataların / eksikliklerin kontrol sorumluluğu kullanıcılara aittir.,08.02.2021,14.02.2021,Balıkesir,84
,"TURCOVID19, veri setinin kullanımından kaynaklanabilecek her türlü maddi ve manevi zararların sorumluluğunu reddeler.",08.02.2021,14.02.2021,Bartın,45
6,TURCOVID19 Bölgesel İzlem Ekranı Sayfası,08.02.2021,14.02.2021,Batman,12
,https://bit.ly/3rUn70g,08.02.2021,14.02.2021,Bayburt,61
7,Geri Bildirim,08.02.2021,14.02.2021,Bilecik,35
,https://turcovid19.com/iletisim/,08.02.2021,14.02.2021,Bingöl,27
8,"Kullanım Hakları, Lisans ve Atıf",08.02.2021,14.02.2021,Bitlis,10
,Veri setinin yayınlama hakları TURCOVID19'a aittir,08.02.2021,14.02.2021,Bolu,45
,"Bu veri seti,  CC BY-NC-ND 4.0 lisansı ile lisanslanmıştır. ",08.02.2021,14.02.2021,Burdur,76
,Atıf yapmak koşuluyla kullanım ve paylaşıma açıktır. ,08.02.2021,14.02.2021,Bursa,35
9,Atıf,08.02.2021,14.02.2021,Çanakkale,38
,"Akademik: Uçar, A , Arslan, Ş , Manap, H , Gürkan, T , Çalışkan, M , Dayıoğlu, A , Efe, H , Yılmaz, M , İbrahi̇moğlu, A , Gülteki̇n, E , Durna, R , Başar, R , Osmanoğlu, F , Ören, S . (2020). Türkiye’de Covid-19 Pandemisinin Monitörizasyonu Için Interaktif Ve Gerçek Zamanlı Bir Web Uygulaması: TURCOVID19 . Anatolian Clinic the Journal of Medical Sciences , 25 (Special Issue on COVID 19) , 154-155 . DOI: 10.21673/anadoluklin.726347",08.02.2021,14.02.2021,Çankırı,23
,"Web: <div>Kaynak: <a title=""TURCOVID19"" href=""https://turcovid19.com"">turcovid19.com</a></div>",08.02.2021,14.02.2021,Çorum,35
,Basılı görseller: turcovid19.com,08.02.2021,14.02.2021,Denizli,33
,Video: turcovid19.com,08.02.2021,14.02.2021,Diyarbakır,18
,,08.02.2021,14.02.2021,Düzce,44
,,08.02.2021,14.02.2021,Edirne,66
,,08.02.2021,14.02.2021,Elazığ,50
,,08.02.2021,14.02.2021,Erzincan,60
,,08.02.2021,14.02.2021,Erzurum,38
,,08.02.2021,14.02.2021,Eskişehir,31
,,08.02.2021,14.02.2021,Gaziantep,27
,,08.02.2021,14.02.2021,Giresun,184
,,08.02.2021,14.02.2021,Gümüşhane,97
,,08.02.2021,14.02.2021,Hakkari,10
,,08.02.2021,14.02.2021,Hatay,63
,,08.02.2021,14.02.2021,Iğdır,23
,,08.02.2021,14.02.2021,Isparta,34
,,08.02.2021,14.02.2021,Istanbul,60
,,08.02.2021,14.02.2021,Izmir,44
,,08.02.2021,14.02.2021,Kahramanmaraş,39
,,08.02.2021,14.02.2021,Karabük,34
,,08.02.2021,14.02.2021,Karaman,103
,,08.02.2021,14.02.2021,Kars,18
,,08.02.2021,14.02.2021,Kastamonu,30
,,08.02.2021,14.02.2021,Kayseri,57
,,08.02.2021,14.02.2021,Kırıkkale,43
,,08.02.2021,14.02.2021,Kırklareli,53
,,08.02.2021,14.02.2021,Kırşehir,30
,,08.02.2021,14.02.2021,Kilis,52
,,08.02.2021,14.02.2021,Kocaeli,88
,,08.02.2021,14.02.2021,Konya,91
,,08.02.2021,14.02.2021,Kütahya,51
,,08.02.2021,14.02.2021,Malatya,41
,,08.02.2021,14.02.2021,Manisa,43
,,08.02.2021,14.02.2021,Mardin,15
,,08.02.2021,14.02.2021,Içel,91
,,08.02.2021,14.02.2021,Muğla,55
,,08.02.2021,14.02.2021,Muş,16
,,08.02.2021,14.02.2021,Nevşehir,66
,,08.02.2021,14.02.2021,Niğde,55
,,08.02.2021,14.02.2021,Ordu,194
,,08.02.2021,14.02.2021,Osmaniye,140
,,08.02.2021,14.02.2021,Rize,202
,,08.02.2021,14.02.2021,Sakarya,77
,,08.02.2021,14.02.2021,Samsun,171
,,08.02.2021,14.02.2021,Siirt,21
,,08.02.2021,14.02.2021,Sinop,80
,,08.02.2021,14.02.2021,Sivas,33
,,08.02.2021,14.02.2021,Şanlıurfa,27
,,08.02.2021,14.02.2021,Şırnak,8
,,08.02.2021,14.02.2021,Tekirdağ,55
,,08.02.2021,14.02.2021,Tokat,119
,,08.02.2021,14.02.2021,Trabzon,228
,,08.02.2021,14.02.2021,Tunceli,39
,,08.02.2021,14.02.2021,Uşak,28
,,08.02.2021,14.02.2021,Van,15
,,08.02.2021,14.02.2021,Yalova,75
,,08.02.2021,14.02.2021,Yozgat,41
,,08.02.2021,14.02.2021,Zonguldak,55
